Text,Proem mean (N),MB mean (N),Epil. mean (N),Range,P words,MB words,E words
"Isoc., C. soph.",37.0 (2),50.3 (23),31.0 (3),19.3,74,1157,93
"Isoc., Paneg.",51.4 (14),48.5 (196),56.1 (10),7.6,720,9498,561
"Isoc., Helen",48.0 (15),44.6 (64),39.2 (4),8.8,720,2852,157
"Xen., Vect.",22.7 (16),29.1 (114),57.0 (3),34.3,363,3319,171
"Xen., Eq. mag.",27.6 (42),27.7 (154),25.8 (14),1.9,1160,4259,361
"Xen., Lac.",28.4 (14),27.2 (150),23.4 (19),4.9,397,4083,445
"Gorg., Helen",35.0 (9),26.8 (34),61.0 (1),34.2,315,911,61
"Hipp., De arte",62.0 (2),56.9 (44),71.0 (1),14.1,124,2502,71
"Hipp., Flat.",33.3 (9),44.7 (55),41.0 (2),11.4,300,2458,82
"Antisth., Ajax",29.5 (2),24.9 (11),24.1 (7),5.4,59,274,169
"Antisth., Od.",20.3 (3),31.4 (26),46.0 (1),25.7,61,817,46
"Alcidamas, Soph.",101.0 (1),44.0 (45),94.0 (1),57.0,101,1979,94
"""Alcidamas"", Od.",34.7 (7),22.3 (57),21.7 (3),13.0,243,1269,65
