Text,Windows,z γάρ,z μέν,z δέ,z καί,z density,% ≥extreme γάρ,% μέν,% δέ,% καί,% density,% joint 5-feature,% joint 3-main
"Isoc., C. soph.",991,-0.02,0.03,-1.44,-0.59,-1.63,53.5,58.9,21.2,35.2,11.2,0.0,4.8
"Isoc., Paneg.",8218,0.26,-0.79,-1.34,0.03,-1.46,38.5,21.7,7.4,34.9,9.8,1.4,6.1
"Isoc., Helen",1976,1.50,-1.45,-3.64,1.14,-4.04,12.7,11.2,0.0,19.0,0.0,0.0,0.0
"Xen., Vect.",2786,-1.31,2.42,5.30,0.18,2.60,19.1,3.1,0.0,33.6,3.8,0.0,0.0
"Xen., Eq. mag.",2739,-0.24,-0.77,0.76,0.32,-0.72,51.8,28.8,27.0,59.0,19.3,0.0,0.0
"Xen., Lac.",3242,-0.60,1.05,0.23,0.07,-0.12,31.8,18.8,41.0,55.6,48.8,0.0,6.0
"Gorg., Helen",536,-4.07,4.39,5.93,-1.06,2.55,0.0,0.0,0.0,17.7,0.0,0.0,0.0
"Hipp., De arte",2308,-1.28,0.93,-0.73,-0.50,-0.89,18.3,30.1,31.3,39.4,18.0,0.0,0.3
"Hipp., Flat.",2077,1.60,1.22,1.70,-1.76,2.38,10.3,24.0,6.1,3.4,0.0,0.0,0.0
"Antisth., Ajax",47,-5.38,-2.91,0.90,6.86,1.09,0.0,0.0,55.3,0.0,23.4,0.0,0.0
"Antisth., Od.",711,0.89,-0.56,0.66,1.61,-0.11,33.9,54.6,30.4,9.6,61.5,0.0,0.0
"Alcidamas, Soph.",1785,-1.95,-1.44,-1.86,1.38,-2.57,2.7,17.0,7.7,11.8,0.3,0.0,0.0
"""Alcidamas"", Od.",962,-0.56,2.90,-0.30,-0.44,0.69,52.4,0.2,53.5,46.7,27.1,0.0,1.4
