Text,Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
"Isoc., C. soph.",γάρ,1,1.35,13,1.12,1,1.08,1.20,1.07
"Isoc., C. soph.",μέν,2,2.70,25,2.16,2,2.15,2.40,1.11
"Isoc., C. soph.",δέ,2,2.70,36,3.11,2,2.15,2.40,0.77
"Isoc., C. soph.",οὖν,0,0.00,2,0.17,0,0.00,0.00,0.00
"Isoc., C. soph.",καί,2,2.70,53,4.58,4,4.30,3.59,0.78
"Isoc., C. soph.",τε,0,0.00,6,0.52,0,0.00,0.00,0.00
"Isoc., C. soph.",ἀλλά,0,0.00,14,1.21,1,1.08,0.60,0.49
"Isoc., C. soph.",ἤ,0,0.00,6,0.52,1,1.08,0.60,1.15
"Isoc., C. soph.",ἔτι,0,0.00,3,0.26,0,0.00,0.00,0.00
"Isoc., C. soph.",τοίνυν,0,0.00,1,0.09,0,0.00,0.00,0.00
"Isoc., C. soph.",καίτοι,0,0.00,0,0.00,1,1.08,0.60,—
"Isoc., C. soph.",ὥστε,1,1.35,8,0.69,0,0.00,0.60,0.87
"Isoc., C. soph.",ἔπειτα,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., C. soph.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., C. soph.",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., C. soph.",δή,0,0.00,1,0.09,0,0.00,0.00,0.00
"Isoc., Paneg.",γάρ,5,0.69,107,1.13,9,1.60,1.09,0.97
"Isoc., Paneg.",μέν,14,1.94,206,2.17,12,2.14,2.03,0.94
"Isoc., Paneg.",δέ,16,2.22,305,3.21,19,3.39,2.73,0.85
"Isoc., Paneg.",οὖν,2,0.28,17,0.18,1,0.18,0.23,1.31
"Isoc., Paneg.",καί,32,4.44,428,4.51,25,4.46,4.45,0.99
"Isoc., Paneg.",τε,7,0.97,43,0.45,5,0.89,0.94,2.07
"Isoc., Paneg.",ἀλλά,11,1.53,93,0.98,5,0.89,1.25,1.28
"Isoc., Paneg.",ἤ,4,0.56,56,0.59,8,1.43,0.94,1.59
"Isoc., Paneg.",ἔτι,1,0.14,18,0.19,0,0.00,0.08,0.41
"Isoc., Paneg.",τοίνυν,0,0.00,8,0.08,0,0.00,0.00,0.00
"Isoc., Paneg.",καίτοι,1,0.14,14,0.15,0,0.00,0.08,0.53
"Isoc., Paneg.",ὥστε,6,0.83,43,0.45,1,0.18,0.55,1.21
"Isoc., Paneg.",ἔπειτα,0,0.00,2,0.02,0,0.00,0.00,0.00
"Isoc., Paneg.",χωρίς,0,0.00,3,0.03,0,0.00,0.00,0.00
"Isoc., Paneg.",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., Paneg.",δή,0,0.00,8,0.08,0,0.00,0.00,0.00
"Isoc., Helen",γάρ,11,1.53,35,1.23,2,1.27,1.48,1.21
"Isoc., Helen",μέν,13,1.81,62,2.17,2,1.27,1.71,0.79
"Isoc., Helen",δέ,20,2.78,102,3.58,5,3.18,2.85,0.80
"Isoc., Helen",οὖν,1,0.14,8,0.28,1,0.64,0.23,0.81
"Isoc., Helen",καί,34,4.72,127,4.45,11,7.01,5.13,1.15
"Isoc., Helen",τε,2,0.28,10,0.35,0,0.00,0.23,0.65
"Isoc., Helen",ἀλλά,5,0.69,34,1.19,1,0.64,0.68,0.57
"Isoc., Helen",ἤ,7,0.97,23,0.81,0,0.00,0.80,0.99
"Isoc., Helen",ἔτι,1,0.14,6,0.21,0,0.00,0.11,0.54
"Isoc., Helen",τοίνυν,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., Helen",καίτοι,0,0.00,1,0.04,0,0.00,0.00,0.00
"Isoc., Helen",ὥστε,1,0.14,16,0.56,2,1.27,0.34,0.61
"Isoc., Helen",ἔπειτα,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., Helen",χωρίς,0,0.00,0,0.00,1,0.64,0.11,—
"Isoc., Helen",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Isoc., Helen",δή,0,0.00,3,0.11,0,0.00,0.00,0.00
"Xen., Vect.",γάρ,4,1.10,39,1.18,1,0.58,0.94,0.80
"Xen., Vect.",μέν,9,2.48,53,1.60,4,2.34,2.43,1.52
"Xen., Vect.",δέ,16,4.41,101,3.04,10,5.85,4.87,1.60
"Xen., Vect.",οὖν,0,0.00,7,0.21,0,0.00,0.00,0.00
"Xen., Vect.",καί,20,5.51,200,6.03,13,7.60,6.18,1.03
"Xen., Vect.",τε,4,1.10,32,0.96,0,0.00,0.75,0.78
"Xen., Vect.",ἀλλά,1,0.28,20,0.60,1,0.58,0.37,0.62
"Xen., Vect.",ἤ,5,1.38,45,1.36,1,0.58,1.12,0.83
"Xen., Vect.",ἔτι,1,0.28,8,0.24,2,1.17,0.56,2.33
"Xen., Vect.",τοίνυν,0,0.00,2,0.06,0,0.00,0.00,0.00
"Xen., Vect.",καίτοι,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Vect.",ὥστε,0,0.00,4,0.12,0,0.00,0.00,0.00
"Xen., Vect.",ἔπειτα,0,0.00,0,0.00,1,0.58,0.19,—
"Xen., Vect.",χωρίς,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Vect.",ἄρα,0,0.00,0,0.00,0,0.00,0.00,—
"Xen., Vect.",δή,1,0.28,7,0.21,0,0.00,0.19,0.89
"Xen., Eq. mag.",γάρ,16,1.38,52,1.22,3,0.83,1.25,1.02
"Xen., Eq. mag.",μέν,24,2.07,79,1.85,3,0.83,1.78,0.96
"Xen., Eq. mag.",δέ,41,3.53,153,3.59,18,4.99,3.88,1.08
