Particle,P n,P /100,MB n,MB /100,E n,E /100,P+E /100,Ratio PE:MB
γάρ,0,0.00,27,1.36,0,0.00,0.00,0.00
μέν,1,0.99,41,2.07,1,1.06,1.03,0.50
δέ,1,0.99,60,3.03,2,2.13,1.54,0.51
οὖν,0,0.00,4,0.20,1,1.06,0.51,2.54
καί,10,9.90,127,6.42,8,8.51,9.23,1.44
τε,0,0.00,8,0.40,1,1.06,0.51,1.27
ἀλλά,1,0.99,9,0.45,0,0.00,0.51,1.13
ἤ,1,0.99,13,0.66,3,3.19,2.05,3.12
ἔτι,0,0.00,5,0.25,1,1.06,0.51,2.03
τοίνυν,0,0.00,2,0.10,0,0.00,0.00,0.00
καίτοι,0,0.00,1,0.05,0,0.00,0.00,0.00
ὥστε,0,0.00,4,0.20,0,0.00,0.00,0.00
ἔπειτα,0,0.00,2,0.10,0,0.00,0.00,0.00
χωρίς,0,0.00,3,0.15,0,0.00,0.00,0.00
ἄρα,0,0.00,2,0.10,0,0.00,0.00,0.00
δή,0,0.00,1,0.05,0,0.00,0.00,0.00
